ARRAY SIZE;Num SERVERS;CUTOFF;Num STEALS;Num INIT;Thread CPU;Thread CLOCK;SEQ CPU ;SEQ CLOCK;
50000;10;50;1048;1925;781250;27930892;15625000;7048110;
100000;10;50;3603;3803;1953125;71642057;15625000;26058252;
150000;10;50;0;5690;1171875;49236075;15625000;24802997;
200000;10;50;5209;7632;4296875;97621801;31250000;34442255;
250000;10;50;6498;9583;3125000;157756228;31250000;39126630;
300000;10;50;4152;11466;1562500;76864459;62500000;73819338;
350000;10;50;10892;13317;4687500;78910753;46875000;49489514;
400000;10;50;15112;15222;3906250;34534415;62500000;67877149;
450000;10;50;12382;17071;2343750;39435111;62500000;66266482;
500000;10;50;12218;19164;2343750;38064657;78125000;88170277;
550000;10;50;19234;21136;3125000;36633189;78125000;82733688;
600000;10;50;18582;22852;4296875;64264135;125000000;169042845;
650000;10;50;18389;24855;3515625;63590427;109375000;119733811;
700000;10;50;19200;26800;6250000;82065956;109375000;161644442;
750000;10;50;22843;28570;4687500;75642912;109375000;144346088;
800000;10;50;26361;30632;6250000;69072670;125000000;135364751;
850000;10;50;26877;32479;5859375;60669892;125000000;133389711;
900000;10;50;34048;34468;8203125;88356304;125000000;139897659;
950000;10;50;31702;36299;5468750;70324936;140625000;131783736;
1000000;10;50;35028;38113;14453125;179880184;156250000;168479646;
1050000;10;50;38610;40269;8984375;114427356;156250000;160291909;
1100000;10;50;38753;42077;11718750;129176801;140625000;171750047;
1150000;10;50;39799;43742;6640625;88717692;171875000;171536286;
1200000;10;50;43952;45941;14453125;313905627;203125000;210327129;
1250000;10;50;47764;47867;25000000;316436188;187500000;189414054;
1300000;10;50;48313;49474;17187500;196296190;187500000;204372141;
1350000;10;50;50975;51671;33203125;407848707;203125000;198641578;
1400000;10;50;49152;53572;12109375;138338193;187500000;197739604;
1450000;10;50;54138;55434;12890625;156312386;234375000;246554986;
1500000;10;50;46432;57268;12500000;140311953;218750000;231956578;
