ARRAY SIZE;Num SERVERS;CUTOFF;Thread CLOCK;SEQ CLOCK;;;;;;;;;server AVG;seq AVG;
1000000;20;5;808531434;237636985;236252047;166350719;170435500;151760574;181726910;149557592;164653657;148781206;312319909,6;170817415,2;0,546930919
1000000;20;10;868008298;189023492;132977580;148638728;134210381;150133543;132084071;147472941;114781404;150549507;276412346,8;157163642,2;0,568584016
1000000;20;25;169535955;267654034;101517033;148298229;133965872;149541292;132716773;147254394;99352690;148961116;127417664,6;172341813;1,352573943
1000000;20;50;146818507;223854016;82579486;146587885;100770832;149218301;70158514;150616521;77166516;148421992;95498771;163739743;1,714574348
1000000;20;100;103324575;189543297;67020367;150641877;63522402;152367314;124087776;152098054;69019290;153661693;85394882;159662447;1,869695739
1000000;20;150;68773575;151855961;63794078;149249091;62685041;150360543;67186391;151132702;67366300;153834358;65961077;151286531;2,293572784
1000000;20;200;62339711;146160449;67592696;146460499;70727219;146135094;63387169;151680279;71592352;150161314;67127829,4;148119527;2,206529368
1000000;20;250;107766761;149013639;67040894;148429237;67708006;148903762;60209178;151795590;67138697;149738105;73972707,2;149576066,6;2,022043971
1000000;20;300;208182604;153382170;63814001;148944211;59040372;149494806;68204266;146639201;67036064;148690044;93255461,4;149430086,4;1,602373568
1000000;20;350;77461133;149026317;80122942;150512076;67549227;148927911;69207047;148763699;70513501;149102990;72970770;149266598,6;2,045566993
1000000;20;400;60939681;150938304;89700384;148005424;69080870;150058078;66911697;150075586;58008611;150140788;68928248,6;149843636;2,173907491
1000000;20;450;67942854;152329884;63862902;146178561;66154630;150074982;58405257;153097214;69024724;146598148;65078073,4;149655757,8;2,299634116
1000000;20;500;71476438;149063144;82529377;145996842;65597395;151824569;102510155;159128395;67872823;149102386;77997237,6;151023067,2;1,936261743
1000000;20;550;106082376;147733749;102140676;150740283;67243140;149019073;57970577;152414404;67229859;151541423;80133325,6;150289786,4;1,875496683
1000000;20;600;79471526;149815382;81578515;147900377;79978048;149983217;116686750;148444330;78236915;149532840;87190350,8;149135229,2;1,710455662
1000000;20;650;66603799;148119527;104318301;147609382;60180199;150121468;59360948;147715638;106130071;151714087;79318663,6;149056020,4;1,879204889
1000000;20;700;69949021;148522210;64011418;147584026;67008293;149847379;67797961;149599853;67641596;146814884;67281657,8;148473670,4;2,206748098
1000000;20;750;78565943;146624108;68172268;147853286;67241933;148361016;58414917;149933107;66906867;151261900;67860385,6;148806683,4;2,192835807
1000000;20;800;61710634;148312114;64078431;151748499;70145835;149861265;63210279;148313926;220922342;151286652;96013504,2;149904491,2;1,561285493
1000000;20;850;66236133;148747398;67634956;150682327;67121793;149786404;66530145;152480210;68812817;147429473;67267168,8;149825162,4;2,227314826
1000000;20;900;67237103;148208878;67794338;150918986;67385015;148274080;66492714;156153253;74621828;149742331;68706199,6;150659505,6;2,192808021
1000000;20;950;66553690;148839768;62610179;148048892;75121711;152357051;62699530;151407396;66655720;148837353;66728166;149898092;2,246399099
1000000;20;1000;61285010;146549851;61476993;147309333;67480403;149494201;67163450;149849190;66350236;148060363;64751218,4;148252587,6;2,28957217
1000000;20;1050;68069636;148484176;60728982;151159870;67322228;150164333;70113838;148743172;61935218;149649359;65633980,4;149640182;2,279919351
1000000;20;1100;76092495;147391438;66534975;149778555;61828963;149439867;67286609;147634739;60328110;150960642;66414230,4;149041048,2;2,244113156
1000000;20;1150;144369811;150621350;72866809;149467638;69265005;147271901;66591121;149864887;90037262;149916808;88626001,6;149428516,8;1,686057298
1000000;20;1200;63183112;146324662;99633421;152053378;67732156;148499872;164470729;150586938;67225632;148842786;92449010;149261527,2;1,61452813
1000000;20;1250;64900700;154678965;68414965;152178953;66706432;151259484;67226840;149377683;59492559;146711648;65348299,2;150841346,6;2,308267368
1000000;20;1300;63855054;147060600;63219334;145909906;99075581;151072934;66299524;151611455;66671416;146711044;71824181,8;148473187,8;2,067175484
1000000;20;1350;66762578;163466136;101250791;151128477;59231148;148567488;70410265;148606731;68085332;150164937;73148022,8;152386753,8;2,083265521
1000000;20;1400;93208009;191924375;60790562;148906177;58506682;151310197;77561350;147506146;69680970;147391439;71949514,6;157407666,8;2,187751615
1000000;20;1450;275429971;165028568;68531483;148073644;69599466;149800288;57707958;151127873;103900526;148248724;115033880,8;152455819,4;1,32531232
1000000;20;1500;67291438;152452439;60358900;149946994;64828253;149744143;70394568;150787978;136693488;147619042;79913329,4;150110119,2;1,878411528
1000000;20;1550;68752445;158831364;100841468;148697289;57409116;149401229;68367271;149132572;75284716;162104744;74131003,2;153633439,6;2,072458661
1000000;20;1600;69057929;150587542;66546446;147739787;64275848;151661564;71023043;148555414;103379514;149914393;74856556;149691740;1,999714494
1000000;20;1650;66972673;150417293;67135678;150391937;69599467;151344609;60095678;149229168;127701655;187418800;78301030,2;157760361,4;2,014792922
1000000;20;1700;68053335;149206831;66948525;150250666;66437776;149630643;74941198;150029703;186987742;164020352;92673715,2;152627639;1,646935581
